transaction_id,user_id,subscription_plan,payment_amount,payment_status
TXN-00001,USR-124,basic,5.33,pending
TXN-00002,USR-121,standard,9.56,failed
TXN-00003,USR-146,family,30.279999999999998,failed
TXN-00004,USR-117,basic,4.54,pending
TXN-00005,USR-118,family,30.009999999999998,success
TXN-00006,USR-122,family,29.709999999999997,failed
TXN-00007,USR-146,family,29.849999999999998,success
TXN-00008,USR-131,premium,20.13,failed
TXN-00009,USR-109,family,30.18,pending
TXN-00010,USR-131,standard,10.42,refunded
TXN-00011,USR-116,family,29.61,failed
TXN-00012,USR-101,premium,20.09,success
TXN-00013,USR-142,family,30.31,refunded
TXN-00014,USR-114,basic,4.930000000000001,success
TXN-00015,USR-148,basic,5.08,success
TXN-00016,USR-128,basic,4.9,pending
TXN-00017,USR-114,premium,19.95,success
TXN-00018,USR-137,family,29.709999999999997,pending
TXN-00019,USR-112,premium,20.479999999999997,pending
TXN-00020,USR-105,standard,9.74,refunded
TXN-00021,USR-106,family,30.11,refunded
TXN-00022,USR-112,family,29.74,failed
TXN-00023,USR-108,standard,10.06,failed
TXN-00024,USR-111,standard,10.19,success
TXN-00025,USR-117,standard,10.01,pending
TXN-00026,USR-140,standard,9.950000000000001,pending
TXN-00027,USR-129,family,29.529999999999998,refunded
TXN-00028,USR-139,family,29.59,pending
TXN-00029,USR-111,family,30.18,success
TXN-00030,USR-109,basic,4.62,pending
TXN-00031,USR-136,family,30.209999999999997,failed
TXN-00032,USR-104,premium,19.65,success
TXN-00033,USR-131,standard,9.64,pending
TXN-00034,USR-134,premium,20.319999999999997,refunded
TXN-00035,USR-146,basic,4.74,success
TXN-00036,USR-106,premium,20.2,pending
TXN-00037,USR-147,basic,4.58,failed
TXN-00038,USR-108,premium,20.49,failed
TXN-00039,USR-145,basic,5.08,pending
TXN-00040,USR-110,family,30.04,failed
TXN-00041,USR-122,basic,5.2700000000000005,refunded
TXN-00042,USR-118,premium,20.369999999999997,success
TXN-00043,USR-126,standard,9.51,failed
TXN-00044,USR-146,family,30.04,refunded
TXN-00045,USR-140,basic,5.38,success
TXN-00046,USR-107,family,29.689999999999998,refunded
TXN-00047,USR-140,family,30.33,refunded
TXN-00048,USR-122,standard,10.48,success
TXN-00049,USR-120,premium,19.549999999999997,pending
TXN-00050,USR-131,standard,9.61,pending
TXN-00051,USR-125,premium,20.419999999999998,refunded
TXN-00052,USR-134,family,29.72,pending
TXN-00053,USR-123,premium,19.9,success
TXN-00054,USR-146,basic,5.2,pending
TXN-00055,USR-121,family,29.869999999999997,failed
TXN-00056,USR-111,family,29.61,failed
TXN-00057,USR-132,standard,10.46,failed
TXN-00058,USR-133,standard,10.01,failed
TXN-00059,USR-140,basic,5.15,refunded
TXN-00060,USR-133,basic,5.24,refunded
TXN-00061,USR-107,premium,20.43,failed
TXN-00062,USR-146,basic,4.6000000000000005,success
TXN-00063,USR-105,family,29.83,success
TXN-00064,USR-145,basic,4.5600000000000005,success
TXN-00065,USR-120,family,29.509999999999998,failed
TXN-00066,USR-135,standard,9.98,refunded
TXN-00067,USR-114,family,30.479999999999997,failed
TXN-00068,USR-145,standard,10.1,success
TXN-00069,USR-136,standard,10.26,refunded
TXN-00070,USR-125,family,29.72,failed
TXN-00071,USR-121,standard,10.370000000000001,pending
TXN-00072,USR-139,family,29.61,pending
TXN-00073,USR-142,standard,9.81,pending
TXN-00074,USR-145,basic,5.0600000000000005,success
TXN-00075,USR-110,basic,4.87,failed
TXN-00076,USR-130,standard,9.790000000000001,pending
TXN-00077,USR-116,family,30.229999999999997,failed
TXN-00078,USR-122,family,30.049999999999997,pending
TXN-00079,USR-102,family,29.77,pending
TXN-00080,USR-139,standard,9.5,refunded
TXN-00081,USR-108,premium,20.16,success
TXN-00082,USR-133,premium,20.029999999999998,success
TXN-00083,USR-105,basic,5.03,success
TXN-00084,USR-137,basic,5.180000000000001,refunded
TXN-00085,USR-114,standard,10.48,success
TXN-00086,USR-107,basic,5.15,refunded
TXN-00087,USR-131,family,29.959999999999997,pending
TXN-00088,USR-111,standard,10.39,failed
TXN-00089,USR-131,premium,20.13,refunded
TXN-00090,USR-115,family,30.319999999999997,pending
TXN-00091,USR-108,standard,9.97,failed
TXN-00092,USR-147,basic,4.83,refunded
TXN-00093,USR-139,basic,5.180000000000001,failed
TXN-00094,USR-146,standard,10.13,pending
TXN-00095,USR-102,family,30.2,failed
TXN-00096,USR-119,basic,4.7,failed
TXN-00097,USR-132,premium,20.259999999999998,failed
TXN-00098,USR-114,premium,20.069999999999997,failed
TXN-00099,USR-115,basic,4.65,success
TXN-00100,USR-146,standard,9.98,failed
TXN-00101,USR-106,premium,19.639999999999997,failed
TXN-00102,USR-108,family,30.099999999999998,failed
TXN-00103,USR-127,premium,20.139999999999997,pending
TXN-00104,USR-123,premium,20.259999999999998,success
TXN-00105,USR-113,standard,10.200000000000001,pending
TXN-00106,USR-132,premium,19.95,success
TXN-00107,USR-139,basic,4.99,refunded
TXN-00108,USR-121,premium,19.58,pending
TXN-00109,USR-129,premium,20.31,failed
TXN-00110,USR-142,basic,5.23,pending
TXN-00111,USR-126,premium,20.419999999999998,success
TXN-00112,USR-141,standard,10.31,failed
TXN-00113,USR-105,basic,5.2700000000000005,pending
TXN-00114,USR-113,basic,5.34,failed
TXN-00115,USR-130,family,29.63,refunded
TXN-00116,USR-107,basic,4.78,pending
TXN-00117,USR-124,basic,4.890000000000001,pending
TXN-00118,USR-123,family,30.38,pending
TXN-00119,USR-127,family,30.43,refunded
TXN-00120,USR-116,premium,19.709999999999997,pending
TXN-00121,USR-134,family,29.88,refunded
